지역,확진일,확진자수
강북구,2021-01-06,14
강북구,2021-01-07,2
강북구,2021-01-08,8
강북구,2021-01-09,6
강북구,2021-01-10,2
강북구,2021-01-11,6
강북구,2021-01-12,4
강북구,2021-01-13,8
강북구,2021-01-14,3
강북구,2021-01-15,4
강북구,2021-01-16,2
강북구,2021-01-17,7
강북구,2021-01-18,4
강북구,2021-01-19,2
강북구,2021-01-20,1
강북구,2021-01-21,2
강북구,2021-01-22,3
강북구,2021-01-23,2
강북구,2021-01-24,5
강북구,2021-01-25,4
강북구,2021-01-26,7
강북구,2021-01-27,1
강북구,2021-01-28,1
강북구,2021-01-29,2
강북구,2021-01-30,1
강북구,2021-01-31,2
강북구,2021-02-01,7
강북구,2021-02-02,11
강북구,2021-02-03,9
강북구,2021-02-04,6
강북구,2021-02-05,6
강북구,2021-02-06,2
강북구,2021-02-07,4
강북구,2021-02-08,7
강북구,2021-02-09,3
강북구,2021-02-10,9
강북구,2021-02-11,6
강북구,2021-02-12,1
강북구,2021-02-13,3
강북구,2021-02-14,3
강북구,2021-02-15,7
강북구,2021-02-16,4
강북구,2021-02-17,2
강북구,2021-02-18,6
강북구,2021-02-19,3
강북구,2021-02-20,5
강북구,2021-02-21,2
강북구,2021-02-22,4
강북구,2021-02-23,2
강북구,2021-02-25,2
강북구,2021-02-26,3
강북구,2021-02-27,4
강북구,2021-02-28,3
강북구,2021-03-01,4
강북구,2021-03-02,4
강북구,2021-03-04,8
강북구,2021-03-05,3
강북구,2021-03-06,1
강북구,2021-03-07,1
강북구,2021-03-08,5
강북구,2021-03-09,5
강북구,2021-03-10,5
강북구,2021-03-11,2
강북구,2021-03-12,2
강북구,2021-03-13,2
강북구,2021-03-14,1
강북구,2021-03-15,4
강북구,2021-03-16,1
강북구,2021-03-17,7
강북구,2021-03-18,6
강북구,2021-03-19,3
강북구,2021-03-20,3
강북구,2021-03-21,3
강북구,2021-03-22,4
강북구,2021-03-23,4
강북구,2021-03-24,3
강북구,2021-03-25,8
강북구,2021-03-26,4
강북구,2021-03-27,5
강북구,2021-03-28,6
강북구,2021-03-29,5
강북구,2021-03-30,10
강북구,2021-03-31,6
강북구,2021-04-01,1
강북구,2021-04-02,8
강북구,2021-04-03,1
강북구,2021-04-04,4
강북구,2021-04-05,2
강북구,2021-04-06,5
강북구,2021-04-07,3
강북구,2021-04-08,1
강북구,2021-04-09,1
강북구,2021-04-11,1
강북구,2021-04-12,4
강북구,2021-04-13,7
강북구,2021-04-14,3
강북구,2021-04-15,3
강북구,2021-04-16,5
강북구,2021-04-17,6
강북구,2021-04-18,4
강북구,2021-04-19,7
강북구,2021-04-20,9
강북구,2021-04-21,12
강북구,2021-04-22,13
강북구,2021-04-23,3
강북구,2021-04-24,7
강북구,2021-04-25,4
강북구,2021-04-27,3
강북구,2021-04-28,6
강북구,2021-04-29,7
강북구,2021-04-30,3
강북구,2021-05-01,1
강북구,2021-05-02,4
강북구,2021-05-03,10
강북구,2021-05-04,7
강북구,2021-05-05,9
강북구,2021-05-06,14
강북구,2021-05-07,16
강북구,2021-05-08,8
강북구,2021-05-09,4
강북구,2021-05-10,13
강북구,2021-05-11,9
강북구,2021-05-12,11
강북구,2021-05-13,19
강북구,2021-05-14,17
강북구,2021-05-15,7
강북구,2021-05-16,8
강북구,2021-05-17,13
강북구,2021-05-18,7
강북구,2021-05-19,2
강북구,2021-05-20,8
강북구,2021-05-21,5
강북구,2021-05-22,6
강북구,2021-05-23,3
강북구,2021-05-24,4
강북구,2021-05-25,14
강북구,2021-05-26,6
강북구,2021-05-27,8
강북구,2021-05-28,4
강북구,2021-05-29,6
강북구,2021-05-30,7
강북구,2021-05-31,16
강북구,2021-06-01,13
강북구,2021-06-02,10
강북구,2021-06-03,2
강북구,2021-06-04,10
강북구,2021-06-05,2
강북구,2021-06-06,6
강북구,2021-06-07,3
강북구,2021-06-09,6
강북구,2021-06-10,13
강북구,2021-06-11,11
강북구,2021-06-12,4
강북구,2021-06-13,2
강북구,2021-06-14,5
강북구,2021-06-15,10
강북구,2021-06-16,3
강북구,2021-06-17,1
강북구,2021-06-18,2
강북구,2021-06-19,4
강북구,2021-06-20,2
강북구,2021-06-21,5
강북구,2021-06-22,1
강북구,2021-06-23,5
강북구,2021-06-24,4
강북구,2021-06-25,5
강북구,2021-06-26,1
강북구,2021-06-27,3
강북구,2021-06-28,5
강북구,2021-06-29,12
강북구,2021-06-30,14
강북구,2021-07-01,8
강북구,2021-07-02,6
강북구,2021-07-03,9
강북구,2021-07-04,4
강북구,2021-07-05,6
강서구,2020-01-24,1
강서구,2020-02-23,1
강서구,2020-03-06,1
강서구,2020-03-09,3
강서구,2020-03-10,4
강서구,2020-03-11,3
강서구,2020-03-15,1
강서구,2020-03-16,1
강서구,2020-03-19,1
강서구,2020-03-20,1
강서구,2020-03-21,1
강서구,2020-03-22,1
강서구,2020-03-24,2
강서구,2020-03-25,1
강서구,2020-04-04,1
강서구,2020-04-05,1
강서구,2020-04-07,1
강서구,2020-04-19,1
강서구,2020-05-09,2
강서구,2020-05-11,2
강서구,2020-05-13,1
강서구,2020-05-18,1
강서구,2020-05-25,1
강서구,2020-05-26,3
강서구,2020-05-27,3
강서구,2020-05-28,4
강서구,2020-05-30,2
강서구,2020-06-01,2
강서구,2020-06-02,3
강서구,2020-06-03,2
강서구,2020-06-04,2
강서구,2020-06-05,1
강서구,2020-06-06,2
강서구,2020-06-07,2
강서구,2020-06-08,3
강서구,2020-06-11,3
강서구,2020-06-12,2
강서구,2020-06-13,2
강서구,2020-06-17,2
강서구,2020-06-18,2
강서구,2020-06-19,1
강서구,2020-06-20,1
강서구,2020-06-21,1
강서구,2020-06-22,1
강서구,2020-06-25,1
강서구,2020-07-06,1
강서구,2020-07-09,1
강서구,2020-07-10,1
강서구,2020-07-19,1
강서구,2020-07-20,10
강서구,2020-07-21,3
강서구,2020-07-23,2
강서구,2020-07-24,4
강서구,2020-07-26,1
강서구,2020-07-30,1
강서구,2020-08-01,2
강서구,2020-08-02,1
강서구,2020-08-03,2
강서구,2020-08-07,1
강서구,2020-08-12,3
강서구,2020-08-13,2
강서구,2020-08-14,2
강서구,2020-08-15,7
강서구,2020-08-16,6
강서구,2020-08-17,2
강서구,2020-08-18,2
강서구,2020-08-19,4
강서구,2020-08-20,14
강서구,2020-08-21,7
강서구,2020-08-22,7
강서구,2020-08-23,6
